Date;Code;Close;Open;Low;High;Bid;Ask;WeightedAverage;Amount;Volume;NumberOfTrades
04.08.2020;FXUS ETF;4418;4411;4387;4432;4415;4418;4413;10609;46809999;2002
04.08.2020;FXDE ETF;2481,5;2490;2465;2497;2481,5;2482,5;2487;5439;13508014;1151
04.08.2020;СтаврКрай2;102,79;101,23;101,23;103,09;102,38;103,07;102,6;102;10465,41;54
04.08.2020;ПИФПерПрК;;;;;;;;0;0;0
04.08.2020;РЖД БО-15;;;;;90;;;0;0;0
04.08.2020;ИРКУТ БО-4;;;;;103,1;103,68;;0;0;0
04.08.2020;ФСК ЕЭС-29;;;;;90,05;;;0;0;0
04.08.2020;МГор69-об;;;;;100;;;0;0;0
04.08.2020;РСГ-ФинБ01;101,77;101,77;101,77;101,77;99,17;101,77;101,77;1;1017,7;1
04.08.2020;РЖД-30 обл;;;;;103,6;103,91;;0;0;0
04.08.2020;ГазпромБ19;;;;;90;;;0;0;0
04.08.2020;ГазпромБ20;;;;;90;;;0;0;0
04.08.2020;ГазпРнД ао;26700;26900;26700;27000;26200;26950;26850;6;161150;6
04.08.2020;УпрОтход01;;;;;60;;;0;0;0
04.08.2020;FXRU ETF;918,8;915;906,7;924,5;918;918,8;919,3;18887;17350380,1;1482
04.08.2020;ОВК Фин01;66,94;66,88;66,79;66,95;64,99;66,94;66,89;212;141799,6;27
04.08.2020;РЖД БО-10;;;;;90,01;;;0;0;0
04.08.2020;iFXIT ETF;8200;8240;8190;8263;8202;8209;8232;14275;117463367;2864
04.08.2020;РоснефтьБ6;101,55;101,6;101,55;101,6;101,55;102;101,6;63983;65006726,5;2
04.08.2020;РоснефтьБ5;101,6;101,6;101,6;101,6;101,6;101,85;101,6;54168;55034688;1
04.08.2020;Финстоун01;;;;;;;;0;0;0
04.08.2020;ФСК ЕЭС-30;;;;;90,02;;;0;0;0
04.08.2020;ФСК ЕЭС-34;;;;;90,02;;;0;0;0
04.08.2020;АИЖ11А1/13;;;;;99;;;0;0;0
04.08.2020;АИЖ11А2/13;;;;;90,02;;;0;0;0
04.08.2020;ВЭБлизБ01;;;;;90,01;;;0;0;0
04.08.2020;FXCN ETF;3682;3658;3638;3710;3672;3682;3686;10302;37957482;1963
04.08.2020;РоснефтьБ1;105,39;105,39;105,39;105,39;102,8;105,39;105,39;2;2107,8;2
04.08.2020;РоснефтьБ7;105,7;105,7;105,7;105,7;102,62;105,7;105,7;4;4228;1
04.08.2020;ИА ПСПб А;120;119,99;119,99;120;120;;120;2;266,25;2
04.08.2020;ВСИА2012 А;;;;;90;;;0;0;0
04.08.2020;ВСИА2012 Б;;;;;90;;;0;0;0
04.08.2020;Лента др;216,9;217,3;214,5;222;216;216,1;217,2;753456;163665017,2;11698
04.08.2020;ПИФРВМ-Лог;;;;;;;;0;0;0
04.08.2020;ВейлФин1;;;;;;82,58;;0;0;0
04.08.2020;АрчерФин01;;;;;1;8;;0;0;0
04.08.2020;ИКРУСС-ИНВ;38,4;38,1;38,1;38,9;38,4;38,8;38,7;1900;73610;14
04.08.2020;iАвиастКао;0,501;0,494;0,4925;0,501;0,4985;0,501;0,4995;7166000;3577635;438
04.08.2020;ИАВ 3 А;;;;;90;;;0;0;0
04.08.2020;РосбнБСО12;;;;;65;;;0;0;0
04.08.2020;РосбнБСО13;;;;;65;;;0;0;0
04.08.2020;РосбнБСО14;;;;;65;;;0;0;0
04.08.2020;РосбнБСО15;;;;;65;;;0;0;0
04.08.2020;МежИнБанк1;;;;;90;;;0;0;0
04.08.2020;FXMM ETF;1628,3;1628,7;1628,1;1628,8;1628,3;1628,4;1628,3;16656;27121625,7;898
04.08.2020;АИЖК2014А3;;;;;90,05;;;0;0;0
04.08.2020;ГПБ БО-08;;;;;97,02;100,4;;0;0;0
04.08.2020;ПИФКоммИнв;;;;;;;;0;0;0
04.08.2020;БашнфтБО5;;;;;98,01;;;0;0;0
04.08.2020;Yandex clA;4312;4304;4280,2;4348,8;4311,8;4313;4311,2;343978;1482967333;18944
04.08.2020;ЕАБР09;;;;;100,21;;;0;0;0
04.08.2020;Оренб35002;106;105,97;105,97;106;104,21;106;105,99;301;15951,73;6
04.08.2020;ИАСанр2А;;;;;90;;;0;0;0
04.08.2020;ЗенитБО-13;;;;;99,46;;;0;0;0
04.08.2020;РЖД БО-19;;;;;90;;;0;0;0
04.08.2020;ГПБ БО-09;102,22;102,22;102,22;102,22;99,01;101,5;102,22;3;3066,6;2
04.08.2020;ТрансФБО29;;;;;90;;;0;0;0
04.08.2020;БелгОб2014;105,95;105,99;105,5;106;105,63;105,95;105,88;14539;769663,73;388
04.08.2020;АшинМЗ БО1;85,19;85,2;84,4;85,39;85,05;85,19;85,05;1166;991740,6;64
04.08.2020;ПИФРВМКап;;;;;;;;0;0;0
04.08.2020;ОткрФКББ02;71,2;71,2;71,2;71,2;71,18;73,9;71,2;939;668568;2
